fréquence	tag	UD
22382	?	
17224	verbe	tag=VERB
14070	préposition	tag=ADP
12841	PUNCT	tag=PUNCT
10069	nom	tag=NOUN
7597	indéfini	
7401	quantifieur	tag=DET
7149	adverbe	tag=ADV
6328	déterminant	tag=DET
6149	complémenteur	tag=SCONJ
5576	auxiliaire	tag=AUX
4232	adjectif	tag=ADJ
2758	pronom	tag=PRON
1605	conjonction	tag=CCONJ
1135	préposition.pronom	Amalgame=Yes|tag=ADP.PRON
1040	suffixe	TokenType=Aff
994	particules de discour	deprel=discourse
905	verbe.adjectif	tag=ADJ
844	interrogatif	PronType=Int
688	interjection	tag=INTJ
670	modaux	tag=AUX
558	nom.suffixe	
554	nom_propre	tag=PROPN
542	postposition	tag=ADP
445	?.déterminant	
313	exclamatif	
242	préfixe	TokenType=Aff
212	pluriel	
204	g	
189	?.?	
189	r	
178	quantifieur.suffixe	
160	nom-pronom	Amalgame=Yes|tag=NOUN.ADV|PronType=Dem
155	?.suffixe	
153	Indéfini	
146	verbe.pronom	
145	?-verbe	
139	nom.pluriel	tag=NOUN|Number=Plur
126	particules verbale	
120	finale	
112	?.verbe	
98	les_numéraux_cardinaux	tag=NUM
89	numéraux_cardinaux	tag=NUM
87	?.?-verbe	
77	complémenteur.complémenteur	
76	?.adjectif	
76	adjectif.?	
63	?.pronom	
62	auxiliaire.pronom	
57	adjectif.suffixe	
50	nom.préposition	
48	adjectif.verbe	
46	préfixe.nom	
42	verbe.suffixe	
41	verbe-?	
39	modaux.pronom	
38	nom.verbe	
35	nom.adjectif	
35	?-pronom	
34	?.préposition	
34	complémenteur.pronom	
33	nom-nom	
31	[[R]]	
31	particule_verbale	
30	adjectif.?.?	
30	F	
29	R]]	
28	préposition.préposition	
27	nom.?	
27	nom.finale	
26	complémenteur-particules de discour	
22	?.finale	
22	?-?	
21	?.pluriel	
20	verbe.pluriel	
20	quantifieur.pluriel	
20	M	
20	adverbe.?	
19	adjectif.préposition	
19	auxiliaire.adjectif	
19	verbe.verbe	
18	Modaux	
18	nom.nom	
18	nom-?	
18	?.?.?	
17	verbe.préposition	
17	auxiliaire-?	
16	préposition.verbe	
16	…	
16	verbe-pronom	
16	verbe-nom	
15	verbe.finale	
15	quantifieur.?	
15	adverbe.adjectif	
15	auxiliaire.?	
15	nom-adjectif	
15	alies	
14	?-?.verbe	
14	adverbe.suffixe	
14	quantifieur-particules de discour	
14	auxiliaire-pronom	
13	?-?.?	
13	auxiliaire.verbe	
13	e	
12	?.nom	
12	préposition-verbe	
12	verbe.?	
12	préfixe.verbe	
12	ne]]_1]]_	
11	?-?.nom	
11	nom.F	
11	modaux.adjectif	
11	adjectif.adjectif	
11	quantifieur.nom	
11	quantifieur.préposition	
11	?-nom	
10	z	
10	nom.pronom	
10	A	
10	nom-suffixe	
10	pronom.pronom	
9	préposition.pronom-?	
9	N	
9	conjonction.pronom	
9	Les_numéraux_cardinaux	
9	préposition-particules de discour	
9	complémenteur-verbe	
9	préposition.suffixe	
9	quantifieur-?	
9	nom.?-?	
9	?-?.préposition	
9	espress	
9	R]]_1]]_	
8	adjectif.?.verbe	
8	?-?-?.verbe	
8	déterminant-particules de discour	
8	préposition-préposition	
8	adjectif-adjectif	
8	?-?-?	
8	quantifieur.?.?	
8	Ne	
8	nom-préposition-nom	
7	préposition.préposition.pronom	
7	adverbe.pronom	
7	préposition.adjectif	
7	adjectif-nom	
7	?-?.nom.verbe	
7	préposition-nom	
7	a	
7	?-?-?-?.verbe	
7	C	
7	adjectif-adverbe	
6	nom-complémenteur	
6	conjonction-nom	
6	verbe.?.?	
6	nom_propre.suffixe	
6	auxiliaire.suffixe	
6	quantifieur.?.suffixe	
6	souvent]]	
6	préposition-déterminant	
6	déterminant-?	
6	nom-préposition-préposition	
6	pronom.verbe	
6	ne]]	
6	adverbe.verbe	
6	adjectif.nom_propre.nom_propre	
5	nom.adverbe	
5	nom.nom.suffixe	
5	complémenteur-pronom	
5	?-?-?.?	
5	nom.?.suffixe	
5	préposition-?	
5	complémenteur-?	
5	préposition.nom	
5	pronom-pronom	
5	nom.?.adjectif	
5	?-?.nom.suffixe	
5	?.?.pronom	
5	adjectif-pronom	
5	adjectif.pronom	
5	?-?-?.adjectif	
5	[[ne]]	
5	[[art	
5	?.adverbe	
5	nom.?.?	
5	préposition-adverbe	
5	féminin	
5	nom-adverbe	
5	verbe-verbe-verbe.verbe	
5	adjectif.préposition.préposition	
5	n.n	
4	adjectif.finale	
4	pronom-pronom.indéfini	
4	?-?-particules de discour	
4	verbe.?-?	
4	postposition-préposition	
4	quantifieur-adjectif	
4	auxiliaire-adverbe	
4	?-?.?.verbe	
4	adverbe.finale.suffixe	
4	Adv	
4	?-?.verbe.adjectif	
4	verbe-adverbe	
4	préposition.préposition-verbe	
4	nom.nom.nom	
4	?-?.adjectif	
4	auxiliaire-verbe	
4	conjonction-?	
4	adj	
4	adjectif-adjectif.?	
4	adverbe.adverbe	
4	pronom-?	
4	adjectif.?.pronom	
4	le	
4	quantifieur.?.préposition	
4	adjectif-?	
4	-?	
4	quantifieur.F	
4	modaux.adverbe	
4	auxiliaire-?-?	
4	complémenteur-préposition	
4	la	
4	kondui	
4	hag	
3	ez	
3	nom-particules de discour	
3	?-?.verbe-adverbe	
3	?-adverbe	
3	nom-pronom-déterminant	
3	quantifieur-suffixe	
3	%morse%	
3	auxiliaire-indéfini	
3	préposition-pronom	
3	modaux.préposition	
3	nom.?-?.?	
3	suffixe.suffixe	
3	verbe-adjectif	
3	adverbe-pronom	
3	[[R	
3	adjectif-suffixe	
3	préfixe-verbe	
3	?-?-?.nom.adjectif	
3	pronom-complémenteur	
3	conjonction-pronom	
3	nom-pluriel	
3	conjonction.suffixe	
3	?-?.nom.?	
3	?.?-?	
3	quantifieur-adverbe	
3	adjectif.nom.nom	
3	?.?.adjectif	
3	complémenteur.préposition	
3	Simone	
3	%Simone%	
3	?-?-verbe	
3	ur	
3	ñ	
3	particule_o	
3	à]]	
3	quantifieur.adjectif	
3	ne	
3	?-?-?.verbe.adjectif	
3	na	
3	préposition.déterminant	
3	finale.pluriel	
3	postposition.verbe	
3	nom-?-préposition	
3	complémenteur.pronom-?	
3	?-?.?.suffixe	
3	pronom.?	
3	verbe.verbe.verbe	
3	t	
3	préposition-préposition-préposition.verbe	
3	quantifieur.adjectif.?.?	
3	?.?.nom	
3	nom-indéfini	
2	laɤ	
2	adverbe-suffixe	
2	?-?.?-?-?.verbe.?	
2	nom-finale	
2	déterminant.quantifieur	
2	suffixe.préfixe	
2	adverbe-particules de discour	
2	bet	
2	%biken%	
2	interjection-interjection-interjection	
2	excl	
2	verbe.préfixe	
2	?-?.?-?.verbe.?	
2	-eñ	
2	nom.Indéfini	
2	nom.nom-verbe	
2	quantifieur.verbe	
2	conjonction.?.?	
2	modaux.?	
2	préfixe.nom.finale	
2	auxiliaire.préposition	
2	quantifieur.pronom	
2	adjectif.?.adjectif	
2	%Morse%	
2	?-?.verbe.verbe	
2	complémenteur.verbe	
2	verbe.préposition.nom	
2	?-?-?-?.verbe.adjectif	
2	nom-?-nom	
2	nom.suffixe.suffixe	
2	adjectif.exclamatif	
2	préposition-adjectif	
2	adjectif.adjectif.adjectif	
2	n	
2	?-?-nom	
2	adjectif-préfixe	
2	duarded	
2	%kaer%	
2	complémenteur.déterminant	
2	%ar%	
2	quantifieur.?-verbe	
2	quantifieur-nom	
2	adjectif-adjectif.adjectif	
2	verbe-verbe.verbe	
2	particules verbale.particules verbale	
2	pronom-verbe	
2	verbe-particules de discour	
2	[[COP	
2	est	
2	préposition-préposition.verbe	
2	nom-verbe	
2	quantifieur.F.suffixe	
2	Në	
2	préposition.?	
2	h	
2	d	
2	%alies%	
2	nom.suffixe.verbe	
2	préfixe.?	
2	O	
2	?-?.déterminant	
2	adjectif.?-?	
2	quantifieur.?-nom	
2	a]]_1]]_	
2	art	
2	zikourioù	
2	postposition.déterminant	
2	nom-pronom-Indéfini	
2	nom-nom.nom.verbe	
2	adjectif-verbe	
2	le_Mario	
2	Alies	
2	?-?.suffixe	
2	préfixe.adverbe	
2	verbe-verbe-verbe-verbe.verbe	
2	déterminant.suffixe	
2	adjectif.?-nom	
2	adjectif.?-préposition	
2	?-?-Indéfini	
2	nom.?.finale	
2	postposition.adjectif	
2	zh	
2	?.?.verbe	
2	?.préposition.pronom	
2	re	
2	quantifieur.préposition.?.?	
2	adjectif.particules de discour	
2	%ean%	
2	complémenteur.complémenteur.verbe	
2	préposition.préposition.suffixe	
2	hon	
2	pronom-particules de discour	
2	complémenteur-nom	
2	me	
2	verbe-déterminant-nom	
2	préposition-suffixe	
2	?.?-pronom	
2	nom-quantifieur	
2	?.verbe.adjectif	
2	-où	
2	s]]	
2	verbe-?-?	
2	à	
2	?-préposition	
2	é	
2	?tapet	
2	Na	
2	g-pronom	
2	reçu_bien_terrible	
2	nom-?-?	
2	nom-nom-nom.nom	
2	auxiliaire-conjonction	
2	%espress%	
2	préposition-préposition.préposition-préposition	
2	nom.nom-nom	
2	g)	
2	que]]	
2	renket	
2	?-?.particules de discour	
1	quantifieur.finale	
1	=ont	
1	adverbe-verbe	
1	nom-nom.déterminant	
1	z-complémenteur	
1	conjonction-z	
1	nom.nom.finale	
1	?.préfixe	
1	préfixe-préfixe.verbe.verbe	
1	nom.préposition.suffixe	
1	%Biken%	
1	%Biskoazh%	
1	%biskoazh%	
1	5	
1	*ket	
1	?.verbe.suffixe	
1	nom.adjectif.préposition.verbe	
1	pronom-pronom.pronom.suffixe	
1	nom.particules de discour	
1	nom.adjectif.adjectif.préposition	
1	verbe-?-verbe	
1	verbe-verbe.verbe-verbe.verbe.?	
1	quantifieur-?-?-?.?	
1	nom.adjectif.?.préposition	
1	nom-nom.nom.nom.nom	
1	nom-Indéfini	
1	%eñ%	
1	préposition.indéfini	
1	adjectif.nom	
1	préposition.?.pronom	
1	préposition.pronom-particules de discour	
1	?-?-?-?-?-?-?	
1	adjectif-adjectif-adjectif.nom	
1	interjection.préposition.déterminant.interjection.interjection	
1	adverbe-adverbe-adverbe.verbe-adverbe	
1	verbe.nom.suffixe	
1	adjectif.nom.préposition	
1	?.pronom-?	
1	modaux.complémenteur	
1	?-?-?.nom.pluriel	
1	nom.?-verbe	
1	klañv	
1	préfixe.préfixe.?	
1	nom.suffixe.finale	
1	quantifieur-quantifieur	
1	verbe-verbe-verbe-verbe.verbe.adjectif	
1	?-?-?.nom.préposition	
1	préposition-préposition.adjectif	
1	Evit	
1	nom.préfixe-préfixe.nom.préfixe	
1	-bavardage	
1	/-kaozeadeg	
1	/-loskadurez	
1	anezhi	
1	auxiliaire.%ïans%	
1	déterminant.?	
1	Finale	
1	?.?.suffixe	
1	-couture	
1	%èrez%	
1	complémenteur.suffixe	
1	verbe.préposition.préposition	
1	préposition.pronom-pronom	
1	?.?-particules de discour	
1	-interjection	
1	adverbe-adverbe	
1	nom-nom.nom.nom	
1	%aï%	
1	alîes	
1	nom.nom.verbe	
1	%ebet%	
1	quantifieur.particules de discour	
1	préposition.préposition.nom	
1	finale-nom	
1	préposition.préposition-préposition	
1	un_temps	
1	adverbe.adverbe-verbe	
1	%diouzoh%/ahanoh	
1	nom.nom.adjectif	
1	complémenteur-adverbe	
1	complémenteur.Indéfini	
1	que	
1	nom.?-nom	
1	nom_collectif	
1	préfixe.adjectif	
1	préfixe.préfixe.préfixe	
1	4	
1	?.?.?-particules de discour	
1	adverbe.indéfini	
1	quantifieur-déterminant	
1	préfixe-verbe.adjectif	
1	B>V	
1	auxiliaire.préposition-pronom	
1	Paol	
1	ïans	
1	préfixe.nom.préfixe.préfixe	
1	?.adjectif-adjectif	
1	adjectif.adjectif-adjectif	
1	pronom.pronom.pronom	
1	?.adjectif-adverbe	
1	nom-nom.nom	
1	NF	
1	particules de discour.particules de discour-verbe	
1	adjectif-adjectif-adjectif.adjectif.adjectif.verbe	
1	préfixe-préfixe.préfixe	
1	?-?.nom.?.adjectif	
1	adjectif.nom_féminin	
1	?-?.particules de discour.verbe	
1	ebet	
1	nom_féminin	
1	préfixe-adjectif	
1	N_coll	
1	quantifieur.préposition.préposition.suffixe	
1	[[a	
1	P[[pronom_incorporé	
1	elle	
1	An	
1	nom-nom-nom.nom.adjectif	
1	?.?.?.suffixe	
1	?-?-verbe.adjectif	
1	verbe-verbe	
1	?-?-?.?.adjectif.verbe	
1	adverbe.nom_propre.nom_propre	
1	quantifieur.?.?.?.?.?.?.?	
1	quantifieur.suffixe-?	
1	adjectif.préposition.verbe	
1	quantifieur.préposition.finale	
1	verbe.adjectif.?	
1	-me	
1	1933:28,29	
1	aliesocxxxh	
1	nom-nom-nom	
1	quantifieur.quantifieur	
1	?-?-?.?.?-?	
1	adjectif.adverbe.adverbe	
1	%Biskoaz%	
1	%biskoaz%	
1	adjectif.adjectif.suffixe	
1	%d%	
1	préfixe.nom.verbe	
1	adjectif.?.?.suffixe	
1	coll	
1	fatigue	
1	v	
1	?-?.?-?.?.?	
1	un]]_?	
1	?.préposition.?-?	
1	nom.suffixe.adjectif	
1	?-?.nom.adjectif	
1	adjectif.adjectif.adjectif.adjectif.adjectif	
1	camion	
1	Camion	
1	K>G	
1	nom-nom-nom.nom.verbe	
1	R	
1	nom.préposition.verbe	
1	[[5]]_?	
1	?.adjectif-préposition	
1	[[alies	
1	souvent	
1	Alies,	
1	buan	
1	où	
1	?-pluriel	
1	quantifieur.?-?	
1	morse	
1	[[portée_ambigüe,_large_ou_restreinte	
1	femme	
1	jamais	
1	%mat%	
1	?-?.?.?	
1	%anezho%	
1	verbe.?-?-?	
1	suffixe.suffixe.verbe	
1	?.adjectif.adjectif	
1	quantifieur-quantifieur-quantifieur.adjectif	
1	%a%	
1	%eh%	
1	adjectif.suffixe.?	
1	adverbe.préposition	
1	adjectif.adjectif.adjectif-adjectif	
1	adjectif.?.?-?	
1	verbe.adjectif.?.suffixe	
1	adverbe-adverbe.adverbe.adverbe-préposition	
1	%R]]%	
1	nom.pluriel.pluriel	
1	non	
1	préposition-préposition.pronom	
1	complémenteur.?	
1	?-?.?.adjectif	
1	adjectif-exclamatif.exclamatif	
1	adjectif-particules de discour	
1	adjectif-préposition	
1	verbe.adjectif.complémenteur	
1	[netʃaru…	
1	adverbe.adverbe.verbe	
1	[[kaout	
1	avoir]]	
1	?-?.?.?-particules de discour	
1	?-?.?-particules de discour	
1	préposition-préposition-préposition.pronom	
1	pronom.préposition.préposition	
1	Ker	
1	adverbe-adverbe-adverbe	
1	postposition.?	
1	préposition-préposition.préposition.préposition-particules de discour	
1	adjectif.préposition-nom	
1	quantifieur-préposition.adjectif	
1	?-?.indéfini	
1	verbe.adverbe	
1	?.adjectif.?	
1	auxiliaire-préposition	
1	écrit	
1	adverbe-?	
1	complémenteur.verbe.pronom	
1	%penekoŋ%	
1	nom.complémenteur.complémenteur	
1	%penaus%	
1	le__[[1_[[gwez	
1	arbres[[-enn	
1	SG	
1	complémenteur.complémenteur-verbe	
1	auxiliaire-complémenteur	
1	gi	
1	adjectif.?.?-complémenteur	
1	?.F	
1	adjectif.quantifieur	
1	adverbe.quantifieur	
1	adverbe-quantifieur	
1	?.interjection	
1	suffixe.pluriel	
1	finale.verbe	
1	verbe.nom.finale	
1	Moëlan	
1	quantifieur.quantifieur.quantifieur	
1	adjectif.Modaux	
1	[[particule_o	
1	diwetocxxxh	
1	%t%/	
1	nom-déterminant	
1	?-?.quantifieur.préposition	
1	pronom.indéfini	
1	quantifieur.préposition.préposition	
1	gallet	
1	HAB	
1	tapet	
1	Lucille	
1	lennet	
1	quantifieur-indéfini	
1	%vez%	
1	3SGF	
1	E	
1	à]]_4]]_	
1	R_1]]_	
1	verbe-préposition-préposition	
1	deiz-	
1	quantifieur.pluriel.?.?	
1	adjectif.adjectif.verbe	
1	%diwetocxxxh%	
1	quantifieur.?.verbe	
1	?.?.?-nom	
1	?.indéfini	
1	nom.adverbe-adverbe	
1	quantifieur.pluriel.adjectif.?.?	
1	ma	
1	que]]_4]]_	
1	le]]	
1	préfixe-préfixe-préfixe.préfixe	
1	modaux.verbe	
1	%aliesocxxxh%	
1	nom_propre.nom_propre.nom_propre	
1	?.nom.adjectif	
1	nom.F.suffixe	
1	préfixe.nom.suffixe	
1	nom.suffixe.?	
1	nom.pluriel-adjectif	
1	nom-verbe.suffixe	
1	nom.indéfini	
1	?-pronom-?	
1	?.pronom.?	
1	préposition.préposition.préposition	
1	nom.suffixe.pluriel	
1	préposition.pronom-exclamatif	
1	modaux-préposition	
1	?-?.?-préposition	
1	préposition.pronom.pronom	
1	%ha%	
1	adjectif.préfixe	
1	?-adjectif-?	
1	NA	
1	préposition-Indéfini	
1	modaux.?-?	
1	*den	
1	*zen	
1	F.suffixe	
1	indéfini.indéfini-Indéfini	
1	indéfini-pronom-indéfini	
1	Pe	
1	objet	
1	quantifieur.adjectif.suffixe	
1	Anna	
1	Alain	
1	klevet	
1	nom.préposition-préposition	
1	adjectif.verbe.?	
1	adverbe-adverbe.suffixe	
1	préposition-préposition.préposition	
1	?.?-?-?	
1	adjectif.?.préposition	
1	Ncoll	
1	adverbe-adverbe-adverbe-adverbe.verbe	
1	pronom.pronom-pronom	
1	préposition-préposition-préposition	
1	nom.?.?.?	
1	embellir_[[art	
1	le_coin-pays	
1	nom.nom.nom.nom	
1	?-?-?-?-?.adjectif	
1	adverbe.complémenteur	
1	?-complémenteur	
